Línea,idioma,tema,tiempo de espera en IVR,tiempo de conversación,tipo de usuario,motivo de la llamada
Individual-Ciudad38-Gestor38,Inglés,Dudas,24,18,Nuevo Cliente,El cliente necesita aclaraciones sobre la garantía del servicio.
General-Ciudad39-Gestor39,Francés,Problema,16,11,Cliente Activo,El cliente reporta problemas con la conexión a internet en varias ocasiones.
Individual-Ciudad40-Gestor40,Español,Publicidad,13,7,Otro,El cliente quiere información sobre nuevas promociones y descuentos.
General-Ciudad41-Gestor41,Alemán,Satisfacción,10,9,Cliente Activo,El cliente está satisfecho pero tiene algunas quejas menores.
Individual-Ciudad42-Gestor42,Inglés,Dudas,18,15,Nuevo Cliente,El cliente necesita ayuda con el proceso de instalación del servicio.
General-Ciudad43-Gestor43,Español,Problema,8,11,Cliente Activo,El cliente reporta problemas continuos con el servicio de internet.
Individual-Ciudad44-Gestor44,Francés,Publicidad,12,8,Otro,El cliente quiere saber más sobre las ofertas actuales y promociones.
General-Ciudad45-Gestor45,Alemán,Satisfacción,19,12,Cliente Activo,El cliente está satisfecho pero busca aclaraciones sobre el soporte técnico.
Individual-Ciudad46-Gestor46,Español,Dudas,23,16,Nuevo Cliente,El cliente tiene preguntas sobre los servicios adicionales ofrecidos.
General-Ciudad47-Gestor47,Inglés,Problema,9,10,Cliente Activo,El cliente reporta problemas con la calidad de la señal.
Individual-Ciudad48-Gestor48,Francés,Publicidad,14,7,Otro,El cliente quiere información sobre los últimos paquetes de publicidad.
General-Ciudad49-Gestor49,Español,Satisfacción,11,13,Cliente Activo,El cliente está satisfecho pero desea discutir un problema menor con el servicio.
Individual-Ciudad50-Gestor50,Alemán,Dudas,17,14,Nuevo Cliente,El cliente busca clarificaciones sobre el contrato de servicio.
General-Ciudad51-Gestor51,Inglés,Problema,21,15,Cliente Activo,El cliente reporta cortes frecuentes en la conexión de internet.
Individual-Ciudad52-Gestor52,Español,Publicidad,13,9,Otro,El cliente quiere conocer las últimas ofertas y promociones.
General-Ciudad53-Gestor53,Francés,Satisfacción,20,18,Cliente Activo,El cliente está satisfecho pero tiene dudas sobre la calidad del servicio.
Individual-Ciudad54-Gestor54,Alemán,Dudas,19,16,Nuevo Cliente,El cliente tiene dudas sobre la configuración del equipo.
General-Ciudad55-Gestor55,Español,Problema,12,11,Cliente Activo,El cliente reporta problemas con la conexión a internet.
Individual-Ciudad56-Gestor56,Inglés,Publicidad,11,8,Otro,El cliente busca información sobre nuevas ofertas y promociones.
General-Ciudad57-Gestor57,Francés,Satisfacción,14,10,Cliente Activo,El cliente está satisfecho con el servicio pero desea hacer algunas sugerencias.
Individual-Ciudad58-Gestor58,Alemán,Dudas,21,18,Nuevo Cliente,El cliente tiene preguntas sobre el uso del servicio.
General-Ciudad59-Gestor59,Español,Problema,16,14,Cliente Activo,El cliente reporta problemas con la conexión intermitente.
Individual-Ciudad60-Gestor60,Inglés,Publicidad,14,7,Otro,El cliente quiere saber más sobre las promociones actuales.
General-Ciudad61-Gestor61,Francés,Satisfacción,12,13,Cliente Activo,El cliente está satisfecho pero tiene preguntas sobre el soporte.
Individual-Ciudad62-Gestor62,Alemán,Dudas,20,15,Nuevo Cliente,El cliente busca información sobre el proceso de facturación.
General-Ciudad63-Gestor63,Español,Problema,10,12,Cliente Activo,El cliente reporta problemas recurrentes con la conexión.
Individual-Ciudad64-Gestor64,Inglés,Publicidad,16,8,Otro,El cliente quiere información sobre nuevas campañas publicitarias.
General-Ciudad65-Gestor65,Francés,Satisfacción,18,16,Cliente Activo,El cliente está satisfecho pero tiene algunas preguntas sobre el servicio.
Individual-Ciudad66-Gestor66,Alemán,Dudas,23,19,Nuevo Cliente,El cliente tiene dudas sobre la configuración inicial.
General-Ciudad67-Gestor67,Español,Problema,14,11,Cliente Activo,El cliente reporta problemas con la velocidad de conexión.
Individual-Ciudad68-Gestor68,Inglés,Publicidad,12,7,Otro,El cliente busca información sobre las promociones vigentes.
General-Ciudad69-Gestor69,Francés,Satisfacción,15,13,Cliente Activo,El cliente está satisfecho pero tiene dudas sobre características del servicio.
Individual-Ciudad70-Gestor70,Alemán,Dudas,21,17,Nuevo Cliente,El cliente necesita ayuda para entender la política de servicio.
General-Ciudad71-Gestor71,Español,Problema,9,10,Cliente Activo,El cliente reporta interrupciones en el servicio.
Individual-Ciudad72-Gestor72,Inglés,Publicidad,13,9,Otro,El cliente quiere conocer más sobre las últimas promociones.
General-Ciudad73-Gestor73,Francés,Satisfacción,22,15,Cliente Activo,El cliente está satisfecho pero tiene una queja menor.
Individual-Ciudad74-Gestor74,Alemán,Dudas,19,14,Nuevo Cliente,El cliente tiene preguntas sobre los cargos en su factura.
General-Ciudad75-Gestor75,Español,Problema,16,12,Cliente Activo,El cliente reporta problemas recurrentes con la calidad de conexión.
Individual-Ciudad76-Gestor76,Inglés,Publicidad,11,8,Otro,El cliente busca información sobre campañas actuales.
General-Ciudad77-Gestor77,Francés,Satisfacción,20,14,Cliente Activo,El cliente está satisfecho pero tiene algunas dudas sobre el servicio.
Individual-Ciudad78-Gestor78,Alemán,Dudas,24,19,Nuevo Cliente,El cliente necesita aclaraciones sobre el uso del servicio.
General-Ciudad79-Gestor79,Español,Problema,12,11,Cliente Activo,El cliente reporta una caída constante en la conexión.
Individual-Ciudad80-Gestor80,Inglés,Publicidad,15,10,Otro,El cliente pregunta por las últimas ofertas publicitarias.
General-Ciudad81-Gestor81,Francés,Satisfacción,18,16,Cliente Activo,El cliente está satisfecho pero tiene sugerencias para mejorar el servicio.
Individual-Ciudad82-Gestor82,Alemán,Dudas,20,15,Nuevo Cliente,El cliente busca aclaraciones sobre los servicios incluidos.
General-Ciudad83-Gestor83,Español,Problema,14,12,Cliente Activo,El cliente tiene problemas con la velocidad de conexión.
Individual-Ciudad84-Gestor84,Inglés,Publicidad,16,9,Otro,El cliente quiere información sobre promociones actuales.
General-Ciudad85-Gestor85,Francés,Satisfacción,21,13,Cliente Activo,El cliente está satisfecho pero desea discutir un problema menor.
Individual-Ciudad86-Gestor86,Alemán,Dudas,23,18,Nuevo Cliente,El cliente necesita ayuda con el proceso de facturación.
General-Ciudad87-Gestor87,Español,Problema,11,10,Cliente Activo,El cliente reporta problemas intermitentes con la conexión.
Individual-Ciudad88-Gestor88,Inglés,Publicidad,12,8,Otro,El cliente busca información sobre nuevas ofertas.
General-Ciudad89-Gestor89,Francés,Satisfacción,20,15,Cliente Activo,El cliente está satisfecho pero tiene preguntas sobre características del servicio.
Individual-Ciudad90-Gestor90,Alemán,Dudas,18,14,Nuevo Cliente,El cliente tiene dudas sobre la política de cancelación.
General-Ciudad91-Gestor91,Español,Problema,15,13,Cliente Activo,El cliente reporta una calidad de conexión deficiente.
Individual-Ciudad92-Gestor92,Inglés,Publicidad,14,10,Otro,El cliente quiere saber más sobre promociones vigentes.
General-Ciudad93-Gestor93,Francés,Satisfacción,12,11,Cliente Activo,El cliente está satisfecho pero tiene preguntas sobre el soporte.
Individual-Ciudad94-Gestor94,Alemán,Dudas,19,16,Nuevo Cliente,El cliente busca clarificaciones sobre el uso del servicio.
General-Ciudad95-Gestor95,Español,Problema,11,12,Cliente Activo,El cliente reporta problemas recurrentes con la conexión.
Individual-Ciudad96-Gestor96,Inglés,Publicidad,13,8,Otro,El cliente busca información sobre ofertas actuales.
General-Ciudad97-Gestor97,Francés,Satisfacción,16,13,Cliente Activo,El cliente está satisfecho pero tiene algunas dudas.
Individual-Ciudad98-Gestor98,Alemán,Dudas,22,18,Nuevo Cliente,El cliente tiene dudas sobre el proceso de instalación.
General-Ciudad99-Gestor99,Español,Problema,9,11,Cliente Activo,El cliente reporta una conexión intermitente.
Individual-Ciudad100-Gestor100,Inglés,Publicidad,15,7,Otro,El cliente pregunta por nuevas ofertas y promociones.
